용어,설명
생계비,"인간이 생활하는 데 필요로 하는 비용으로서 가계비 중 소비지출에 대응하는 개념이다. 생계비에는 실제 조사결과로 나타난 지출 비용을 나타내는 실질생계비와 일정한 생활조건, 즉 거주지역·연령·가족구성 등에 대응하는 표준적인 소비유형을 가정하여 계산하는 표준생계비가 있다. 전자는「있는 그대로」의 생계비이나 후자는「있어야 할」생계비로서의 요소를 포함하고 있어 임금수준(특히 최저임금제)이나 최저생활비수준을 결정하는데 이용된다. 그런데 이 경우의 표준은 실태를 전제로 하여 가정되는 것이므로 양자는 밀접한 관계를 가진다. 생계비는 이론생계비(표준생계비, 최저생계비)와 실태생계비로 나누어 볼 수 있는데 가계조사 결과의 가구당 평균가계소비지출비는 실태생계비이다"
생계비지수,"두 개의 서로 다른 가격집단(품목집단)간에 동일한 만족(효용)을 얻기 위해 요구되는 최소비용을 비교하기 위해 작성되는 지수로서, 흔히 두 시점간에 동일한 만족을 얻기 위해 요구되는 최소비용을 비교하기 위해 작성된다"
생명표,"생명표란 한 출생집단이 연령이 많아짐에 따라 소멸되어 가는 과정을 나타내는 표이다. 어떤 연령층의 인구가 주어진 사망력의 유형과 수준이 그대로 적용된다는 가정 하에 평균적으로 더 살 수 있는 기간, 연령별 사망확률, 특정 연령의 사람이 다른 연령까지 생존할 수 있는 확률 등을 나타내 준다. 사망원인 생명표(Cause-deleted life-table)는 특정 사인을 완전히 제거했을 때의 생명표로, 주어진 특정 사인을 예방하거나 그 질병을 퇴치함으로써 그 사인이 완전히 제거되었다고 가정하고 나머지 사인에 의한 사망률 및 사망확률 등에 의하여 작성한다. 각 세별로 작성한 생명표는 완전생명표(Complete Life-Table), 5세 계급별로 작성한 생명표는 간이생명표(Abridged Life-Table)라 한다."
생산계정,"생산계정은 재화 및 서비스를 생산하는 활동을 기록하는 계정으로 균형항목은 총부가가치임. 총부가가치는 산출액에서 중간소비를 차감한 금액으로 정의되며 이는 개별 생산자, 산업 또는 부문이 GDP에 기여한 금액을 의미함. 총부가가치는 본원소득의 발생원천이 되며 따라서 제1차 소득분배계정으로 이월됨."
생산구조,"생산구조는 경상가격 국내총생산(GDP)에 대한 각 경제활동의 구성비로서 파악할 수 있는데, 이는 각 경제활동별 부가가치가 국내총생산(GDP)에 대해 얼마나 기여했는가를 파악할 수 있는 지표이다. 경제의 공업화정도라든가 산업구조의 고도화라고 하는 것은 이와 같은 산업별 구성비 추이를 보고 알 수 있다"
생산능력,"생산능력은 생산설비를 이용하여 생산 가능한 생산량을 말하며 생산능력은 생산 조건에 따라 최대생산능력과 적정생산능력으로 구분한다. 최대생산능력은 기술적으로 가능한 최대의 생산 수준이며 적정생산능력은 경제성을 고려한 최대의 생산수준으로, 통계청에서는 적정생산능력을 사용하고 있다."
생산물 보조금,생산물 보조금이란 재화·서비스의 물량단위당 일정 화폐금액 또는 단위당 가격의 일정비율만큼 생산된 재화 또는 서비스 한 단위에 대해 지급하는 보조금임
생산물세,"생산물세는 생산자가 재화 및 서비스를 생산, 배달, 판매, 이전 또는 기타 용도로 사용하였을 때 동 재화 및 서비스에 대해 부과되는 조세임.? 여기에는 재화의 수입이나 비거주자의 거주자에 대한 서비스 공급 등에 부과되는 수입세 및 관세가 포함됨"
생산성 지표,"· 1일 평균매출액 = 총매출액 ÷ 영업일수
  · 1일 1평당 매출액 = 1일 평균매출액 ÷ 매장면적
  · 1일 종업원 1인당 매출액 = 1일 평균매출액 ÷ 종업원수
  · 고객 1인 1회 구매액 = 1일 평균매출액 ÷ 1일 이용고객수"
생산성에 관한 지표,기업활동의 성과 및 효율을 측정하고 개별 생산요소의 기여도 및 성과배분의 합리성 여부를 규명하기 위한 지표이다. 그러므로 생산성에 관한 지표는 경영합리화의 척도라고 할 수 있으며 생산성 향상으로 얻은 성과에 대한 분배기준이 된다. 근래에는 기업경영의 성과를 부가가치 생산성이란 개념으로 측정하는 것이 일반적이다.
생산세,"생산세는 생산자가 재화 및 서비스를 생산, 배달, 판매, 이전 또는 기타 용도로 사용하였을 때 동 재화 및 서비스에 대해 부과되는 조세와 기타 생산에 사용된 토지, 건물, 기타 자산의 소유 또는 이용에 대한 조세와 고용된 노동력 또는 피용자보수에 대한 조세임"
생산액,"생산액은 판매(출하), 재고 증감 및 상품과 서비스의 전매(재판매) 등을 기초로 하여 계산된 것으로 사업체가 실제 생산한 금액으로 측정된다. 광공업통계조사의 생산액은 제품출하액(부산물·폐품, 임가공(수탁제조) 및 수리수입액 포함)에서 연간재고액(완제품, 반제품, 재공품 포함)의 증감액을 가감하여 계산된다
· 생산액 = 총매출액(출하액) +/- 완제품과 재공품의 재고 증감 +/- 전매를 위해 구입된 상품과 서비스의 재고 증감 - 전매를 위한 상품과 서비스의 구입 +자본화된 생산(자가 소비 및 투자)"
생산요소,"상품 및 서비스의 생산에 필요한 요소를 의미한다. 18세기 이전에는 토지와  노동만을 생산요소로 보았으나 산업화가 진행되면서 자본을 추가하여 일반적으로 토지, 노동, 자본을 전통적인 생산요소로 보고 있다. 여기서 토지는 단지 땅뿐만 아니라 모든 천연자원을 포괄하는 개념으로 사용된다. 그리고 최근에는 기업가 정신도 생산요소의 하나로 보는 견해도 있다.

각각의 생산요소는 상품 및 서비스의 생산과정에서 부가가치를 창출한다. 이 때 각 생산요소는 생산과정에서 기여한 만큼 토지에 대하여는 지대, 노동에 대하여는 임금, 자본에 대하여는 이자 등의 형태로 보수를 지급받게 된다.

예컨대 어떤 사람이 공장에서 매일 8시간씩 일하고 급료를 받는다면 이는 노동이라는 생산요소를 제공한 대가를 임금의 형태로 지급받는 것으로 이해할 수 있다."
생산유발계수,산업연관표에서 최종수요가 1단위 증가하였을 경우 이를 충족시키기 위하여 각 산업부문에서 직·간접으로 유발되는 생산액 수준을 나타내는 것
생산자가격,생산자가격은 생산된 재화 또는 서비스의 한 단위당 생산자가 구매자로부터 수취하는 금액에서 구매자에게 청구되는 부가가치세를 차감한 것임
생산자가격평가표,생산자가격평가표에서는 구매자가격평가표상의 각 거래액에 포함되어 있는 도소매마진과 화물운임을 떼어내어 각각 도소매 및 운수부문으로 이전처리한하는 경우 각 산업부문이 생산과정에서 부담한 모든 도소매마진과 화물운임은 각각 도소매부문과 운수부문으로부터 해당 서비스를 구입한 것으로 처리하는 셈이 되며 생산자가격평가표를 행으로 볼 때 도소매부문 및 운수부문에 기록되는 금액은 구매자가격평가표에 이미 나타나 있는 상품중개수수료 및 생산원가에 포함되는 운임에다가 각 부분의 거래액에서 이전되어 온 도소매마진 및 화물운임을 더한 것과 같게 됨
생산자물가지수,"국내생산자가 국내시장에 공급하는 상품 및 서비스의 가격변동을 측정하는 통계로서 경기동향 판단지표, GDP 디플레이터 등으로 이용된다. 지수작성에 이용되는 가격은 기초가격*(basic prices)을 원칙으로 하고 있다.

* 생산자가 실질적으로 수취하는 단위당 가격으로 생산자가격에서 담배소비세, 주세 등 기타생산물세를 차감하고 보조금을 합산한 가격"
생산자본스톡,총자본스톡에서 시간의 경과에 따른 자본재의 생산능력 효율 하락을 반영하여 평가한 것이다. 자산의 폐기액과 생산능력의 저하분을 모두 제외하여 계산한 것이기 때문에 실제 생산에 투입된 자본물량을 측정하는데 적합하다.
생산자산,"생산과정을 거쳐 만들어진 건물, 도로, 자동차, 기계류, 연구개발 등 고정자산과 재고품 등을 말한다. "
생산자제품재고지수,"광업, 제조업의 매월 말 제품재고 수준을 나타내는 통계이다. 생산자가 보유하고 있는 원재료, 반제품, 재공품과 유통업자의 재고품은 제외되며, 지수의 계산식, 계산방법, 작성 공표계열 등은 산업생산지수와 동일하다."
생산자출하지수,"광업, 제조업, 전기 및 가스업의 월간판매활동을 나타내는 지수로서, 지수의 계산식, 계산방법, 대표품목, 가중치체계, 작성 공표계열 등이 산업생산지수와 동일하다."
생활물가지수,"일상생활에서 소비자들이 자주 많이 구입하는 생활필수품을 대상으로 작성된 소비자물가지수의 보조지표로서, 품목은 쌀, 배추, 쇠고기 등 소비자들의 구입빈도가 많은 156개 생필품을 대상으로 하고 있어, 소비자의 구입빈도와 관계없이 516개 품목으로 작성되는 전체 소비자물가지수에 비해 소비자들이 체감하는 물가지수로 이용이 가능하다."
생활보호대상자,"국가에서 근로능력이 없는 자에 대하여 생계비 지원으로 최저생계보장 및 자립을 위한 지원으로 보호, 1인당 월소득 및 세대당 재산액을 조사하여 일정수준에 미치지 못할 경우 보호대상자로 선정한다. 생활보호대상자는 다시 거택보호대상자, 시설보호대상자, 그리고 자활보호대상자로 구분된다"
생활시간조사,"국민들의 생활양식을 구체적으로 파악하기 위해 하루 24시간 중 국민들이 어떠한 행동을 어느 시간대에 하고 있고, 특정 행동에 할당하는 시간량은 얼마인가를 조사하는 것이다. 이 조사는 통계청에서 1999. 9월 처음으로 전국 17,000가구의 10세 이상 가구원에 대해 조사한 이후 매 5년 주기로 실시하게 되며, 조사결과는 국민계정의 가계부문 생산의 가치측정에 대한 기초자료로 쓰일 뿐 아니라, 각종 노동, 복지, 문화, 교통관련 정책 수립이나 학문적 연구의 기초로 활용된다."
